44: Max Upload: 3.39 Mbps, Max Download: 23.64 Mbps, Latency: 9.27 ms, Packet Loss: 0.0003%
1: Max Upload: 0.37 Mbps, Max Download: 1.08 Mbps, Latency: 42.02 ms, Packet Loss: 0.0002%
2: Max Upload: 0.58 Mbps, Max Download: 2.75 Mbps, Latency: 21.05 ms, Packet Loss: 0.0009%
3: Max Upload: 0.88 Mbps, Max Download: 1.85 Mbps, Latency: 27.04 ms, Packet Loss: 0.0002%
4: Max Upload: 0.73 Mbps, Max Download: 3.92 Mbps, Latency: 32.78 ms, Packet Loss: 0.0003%
5: Max Upload: 0.99 Mbps, Max Download: 4.89 Mbps, Latency: 22.51 ms, Packet Loss: 0.0004%
6: Max Upload: 0.86 Mbps, Max Download: 7.82 Mbps, Latency: 30.21 ms, Packet Loss: 0.0002%
7: Max Upload: 7.16 Mbps, Max Download: 27.75 Mbps, Latency: 25.20 ms, Packet Loss: 0.0016%
8: Max Upload: 1.06 Mbps, Max Download: 7.04 Mbps, Latency: 10.57 ms, Packet Loss: 0.0002%
9: Max Upload: 7.10 Mbps, Max Download: 25.55 Mbps, Latency: 8.52 ms, Packet Loss: 0.0008%
20: Max Upload: 18.20 Mbps, Max Download: 58.77 Mbps, Latency: 25.90 ms, Packet Loss: 0.0006%
21: Max Upload: 5.65 Mbps, Max Download: 24.12 Mbps, Latency: 20.67 ms, Packet Loss: 0.0007%
22: Max Upload: 18.58 Mbps, Max Download: 70.96 Mbps, Latency: 7.97 ms, Packet Loss: 0.0002%
23: Max Upload: 7.53 Mbps, Max Download: 32.60 Mbps, Latency: 20.77 ms, Packet Loss: 0.0001%
24: Max Upload: 9.29 Mbps, Max Download: 49.35 Mbps, Latency: 21.11 ms, Packet Loss: 0.0003%
25: Max Upload: 20.94 Mbps, Max Download: 219.39 Mbps, Latency: 16.39 ms, Packet Loss: 0.0005%
26: Max Upload: 18.71 Mbps, Max Download: 74.64 Mbps, Latency: 18.44 ms, Packet Loss: 0.0013%
27: Max Upload: 7.11 Mbps, Max Download: 39.09 Mbps, Latency: 17.93 ms, Packet Loss: 0.0008%
lectureStudioServer: Max Upload: 9.21 Mbps, Max Download: 29.15 Mbps, Latency: 15.14 ms, Packet Loss: 0.0035%
28: Max Upload: 9.22 Mbps, Max Download: 34.18 Mbps, Latency: 10.75 ms, Packet Loss: 0.0007%
29: Max Upload: 18.33 Mbps, Max Download: 62.17 Mbps, Latency: 12.91 ms, Packet Loss: 0.0042%
30: Max Upload: 17.06 Mbps, Max Download: 72.61 Mbps, Latency: 18.35 ms, Packet Loss: 0.0001%
31: Max Upload: 20.82 Mbps, Max Download: 71.22 Mbps, Latency: 3.72 ms, Packet Loss: 0.0002%
32: Max Upload: 18.68 Mbps, Max Download: 73.89 Mbps, Latency: 13.65 ms, Packet Loss: 0.0017%
33: Max Upload: 18.72 Mbps, Max Download: 74.59 Mbps, Latency: 12.86 ms, Packet Loss: 0.0004%
34: Max Upload: 18.70 Mbps, Max Download: 72.74 Mbps, Latency: 12.57 ms, Packet Loss: 0.0011%
35: Max Upload: 18.57 Mbps, Max Download: 74.34 Mbps, Latency: 9.33 ms, Packet Loss: 0.0002%
36: Max Upload: 18.58 Mbps, Max Download: 68.44 Mbps, Latency: 7.72 ms, Packet Loss: 0.0003%
37: Max Upload: 20.43 Mbps, Max Download: 75.93 Mbps, Latency: 9.00 ms, Packet Loss: 0.0005%
38: Max Upload: 20.82 Mbps, Max Download: 74.64 Mbps, Latency: 6.10 ms, Packet Loss: 0.0004%
39: Max Upload: 119.21 Mbps, Max Download: 238.33 Mbps, Latency: 8.43 ms, Packet Loss: 0.0000%
40: Max Upload: 20.77 Mbps, Max Download: 70.83 Mbps, Latency: 6.90 ms, Packet Loss: 0.0070%
41: Max Upload: 50.15 Mbps, Max Download: 306.44 Mbps, Latency: 5.45 ms, Packet Loss: 0.0011%
42: Max Upload: 50.16 Mbps, Max Download: 293.22 Mbps, Latency: 5.68 ms, Packet Loss: 0.0006%
43: Max Upload: 8.57 Mbps, Max Download: 37.00 Mbps, Latency: 9.00 ms, Packet Loss: 0.0006%
